Name,Location,Price
Bedroom Four minutes from beach,Pensacola,"£3,179"
The Hotel Y,Yakima,"£6,104"
Cabins at Grand Canyon West,Peach Springs,"£18,532"
Pike's Waterfront Lodge,Fairbanks,"£11,741"
Bryce Pioneer Village,Tropic,"£20,329"
The Classic Desert Aire Hotel,Alamogordo,"£6,669"
Mount Princeton Hot Springs Resort,Buena Vista,"£24,906"
Guy Harvey Resort on Saint Augustine Beach,Saint Augustine Beach,"£13,418"
Expedition Lodge,Moab,"£9,437"
Adobe Resort,Yachats,"£12,757"
Islander Hotel & Resort,Emerald Isle,"£8,977"
California Inn Barstow,Barstow,"£4,985"
Kelly Inn and Suites Mitchell,Mitchell,"£11,009"
Goulding's Lodge,Monument Valley,"£20,448"
Hotel Parker at Quarter Circle 7,Alpine,"£9,214"
LivINN Hotel Minneapolis South / Burnsville,Burnsville,"£6,303"
Cedar Creek Hotel Wausau - Rothschild,Rothschild,"£6,742"
Texan Inn and Suites Tilden,Tilden,"£5,542"
Red Lion Hotel Wenatchee City Center,Wenatchee,"£4,672"
Arrow Hotel,Broken Bow,"£8,898"
Red Lion Hotel and Conference Center St. George,St. George,"£4,435"
Westward Inn,Brookings,"£8,082"
Inn at Moses Lake,Moses Lake,"£8,525"
Inn at Mountainview,Greensburg,"£4,607"
Cranberry Country Lodge,Tomah,"£6,587"
Bedroom Four minutes from beach,Pensacola,"£3,179"
Sonesta Select Whippany Hanover,Whippany,"£8,656"
"Quiet Mind Lodge, Spa & Retreat Sequoias",Kernville,"£12,971"
Outbound Mammoth,Mammoth Lakes,"£15,831"
Zion Glamping Adventures,Hildale,"£9,441"
Zion View Camping,Hildale,"£5,031"
Alaska Frontier Inn,Delta Junction,"£11,278"
Pivovar Hotel,Waco,"£19,306"
Oceanview Inn at the Arch,Long Beach,"£5,380"
The Hotel Y,Yakima,"£6,104"
Cabins at Grand Canyon West,Peach Springs,"£18,532"
Pike's Waterfront Lodge,Fairbanks,"£11,741"
Gilbert's Resort,Key Largo,"£22,007"
